"miss","dist","method","f_dist"
0.05,"Lognormal","FIML",1.97554691285724
0.1,"Lognormal","FIML",2.85552366306729
0.15,"Lognormal","FIML",3.66334966700778
0.3,"Lognormal","FIML",5.46448208899211
0.05,"Normal","FIML",1.16533932448664
0.1,"Normal","FIML",1.24240581493027
0.15,"Normal","FIML",1.32449926414309
0.3,"Normal","FIML",1.56862674799946
0.05,"Outlier","FIML",2.67125456459013
0.1,"Outlier","FIML",2.81438752855396
0.15,"Outlier","FIML",3.21983574031653
0.3,"Outlier","FIML",4.51058943261605
0.05,"t5","FIML",1.35387249156837
0.1,"t5","FIML",1.40196539635463
0.15,"t5","FIML",1.43400379984882
0.3,"t5","FIML",1.70530564465156
0.05,"Lognormal","FIML_Predict",4.7793645136724
0.1,"Lognormal","FIML_Predict",6.24485983402276
0.15,"Lognormal","FIML_Predict",7.62384381586798
0.3,"Lognormal","FIML_Predict",11.0544893805794
0.05,"Normal","FIML_Predict",3.5925806737109
0.1,"Normal","FIML_Predict",4.16637657450484
0.15,"Normal","FIML_Predict",4.76630641041983
0.3,"Normal","FIML_Predict",6.7154759325463
0.05,"Outlier","FIML_Predict",5.46350330752288
0.1,"Outlier","FIML_Predict",6.84189976804563
0.15,"Outlier","FIML_Predict",8.15750738036013
0.3,"Outlier","FIML_Predict",11.6094213926898
0.05,"t5","FIML_Predict",3.29568492892841
0.1,"t5","FIML_Predict",3.83966359783234
0.15,"t5","FIML_Predict",4.45279447356287
0.3,"t5","FIML_Predict",6.70882488651995
0.05,"Lognormal","missForest",2.13401258939321
0.1,"Lognormal","missForest",3.78972908814897
0.15,"Lognormal","missForest",5.65240995475116
0.3,"Lognormal","missForest",11.0190441395851
0.05,"Normal","missForest",1.9052454431227
0.1,"Normal","missForest",2.89018746953811
0.15,"Normal","missForest",4.34405423846814
0.3,"Normal","missForest",9.88062513944737
0.05,"Outlier","missForest",3.00866998069276
0.1,"Outlier","missForest",3.46985204301087
0.15,"Outlier","missForest",4.5905824773022
0.3,"Outlier","missForest",9.81060227018814
0.05,"t5","missForest",1.95096621637538
0.1,"t5","missForest",2.83779307378389
0.15,"t5","missForest",4.23232291984113
0.3,"t5","missForest",9.99648001231838
0.05,"Lognormal","Smriti_FIML",2.14034325882312
0.1,"Lognormal","Smriti_FIML",3.02286123632353
0.15,"Lognormal","Smriti_FIML",3.77749164969008
0.3,"Lognormal","Smriti_FIML",5.44339862550848
0.05,"Normal","Smriti_FIML",1.31646873993598
0.1,"Normal","Smriti_FIML",1.41232735994496
0.15,"Normal","Smriti_FIML",1.48562028623276
0.3,"Normal","Smriti_FIML",1.72781344046573
0.05,"Outlier","Smriti_FIML",2.58192825107509
0.1,"Outlier","Smriti_FIML",2.63034195757274
0.15,"Outlier","Smriti_FIML",2.94436011265779
0.3,"Outlier","Smriti_FIML",4.0480496444043
0.05,"t5","Smriti_FIML",1.42118283120107
0.1,"t5","Smriti_FIML",1.51464253391453
0.15,"t5","Smriti_FIML",1.56464263446551
0.3,"t5","Smriti_FIML",1.85536749138676
